CRR,,CRR1.1,CRR1.2,CRR2.1,CRR2.2,CRR3.1,CRR3.2,CRR3.3,CRR4.1,CRR4.2,CRR4.3,CRR5.1,CRR5.2,CRR5.3,CRR6.1,CRR6.2,CRR7.1,CRR7.2,CRR8.1,CRR8.2,CRR8.3
DR_31OCT2012,0.00164,,,,0.00023,0.00057,0.00101,0.00283,0.00397,0.00581,0.00731,0.01050,0.01010,0.00856,0.04270,0.05320,0.12400,0.13800,0.23400,0.25300,0.31700
DR_30NOV2012,0.00089,,,,0.00023,0.00057,0.00153,0.00312,0.00436,0.00682,0.00773,0.00821,0.01000,0.01270,0.04480,0.06040,0.11600,0.12500,0.21200,0.29100,0.33000
DR_31DEC2012,0.00118,,,,0.00023,0.00069,0.00157,0.00190,0.00676,0.00573,0.00861,0.00825,0.01020,0.01550,0.04590,0.06900,0.11600,0.12000,0.21700,0.29000,0.36100
DR_31JAN2013,0.00109,,,,,0.00083,0.00183,0.00188,0.00518,0.00534,0.01470,0.00931,0.01060,0.02390,0.04340,0.06940,0.11400,0.13500,0.24200,0.29500,0.37900
DR_28FEB2013,0.00128,,,,,0.00109,0.00116,0.00267,0.00570,0.00451,0.01540,0.00785,0.01200,0.02170,0.04700,0.07040,0.11900,0.13100,0.26300,0.35000,0.39900
DR_31MAR2013,0.00126,,,,,0.00094,0.00116,0.00295,0.00608,0.00322,0.01060,0.00831,0.01680,0.02120,0.04820,0.06600,0.12700,0.19400,0.23700,0.34000,0.42500
DR_30APR2013,0.00137,,,,,0.00125,0.00139,0.00290,0.00607,0.00518,0.01060,0.01050,0.01060,0.02380,0.04790,0.08300,0.12900,0.21400,0.26800,0.33700,0.42000
DR_31MAY2013,0.00147,,,,,0.00139,0.00127,0.00268,0.00612,0.00775,0.01230,0.00979,0.01210,0.02590,0.05400,0.09480,0.12400,0.21000,0.28900,0.35100,0.42900
DR_30JUN2013,0.00141,,,,,0.00138,0.00138,0.00267,0.00651,0.01010,0.01200,0.01050,0.01010,0.02700,0.05530,0.09900,0.13800,0.21100,0.29600,0.38200,0.40400
DR_31JUL2013,0.00158,,,,,0.00110,0.00124,0.00471,0.00578,0.01130,0.01230,0.01090,0.01060,0.02560,0.05630,0.09440,0.15600,0.22700,0.30300,0.35200,0.36900
DR_31AUG2013,0.00161,,,,,0.00072,0.00284,0.00348,0.00655,0.01040,0.01140,0.00964,0.01180,0.02840,0.05630,0.09310,0.17800,0.23900,0.27400,0.34100,0.36900
DR_30SEP2013,0.00154,,,,,0.00070,0.00277,0.00388,0.00654,0.00964,0.00962,0.00991,0.01060,0.02690,0.06470,0.10900,0.16500,0.23800,0.25800,0.30800,0.35200
DR_31OCT2013,0.00131,,,,,0.00071,0.00268,0.00399,0.00617,0.00886,0.00950,0.01120,0.01210,0.02280,0.05290,0.09950,0.16200,0.27300,0.26000,0.41300,0.38700
DR_30NOV2013,0.00109,,,,,0.00084,0.00295,0.00386,0.00673,0.00821,0.01190,0.01450,0.01010,0.01540,0.05530,0.09200,0.21200,0.24300,0.25100,0.41700,0.37400
DR_31DEC2013,0.00157,,,,,0.00072,0.00243,0.00361,0.00569,0.00753,0.01250,0.01310,0.01190,0.01790,0.05480,0.09590,0.17400,0.23700,0.24300,0.32100,0.36200
DR_31JAN2014,0.00093,,,,,0.00057,0.00255,0.00377,0.00532,0.00707,0.01240,0.00826,0.01360,0.01870,0.06870,0.09020,0.18700,0.24500,0.22500,0.29100,0.40100
DR_28FEB2014,0.00078,,,,0.00042,0.00043,0.00189,0.00425,0.00419,0.01070,0.01200,0.00870,0.01560,0.01760,0.06930,0.09400,0.16700,0.14600,0.25400,0.25900,0.34900
DR_31MAR2014,0.00082,,,,0.00042,0.00057,0.00201,0.00443,0.00642,0.00555,0.00935,0.00876,0.01340,0.01720,0.06670,0.07870,0.14400,0.13300,0.25000,0.27300,0.32000
DR_30APR2014,0.00064,,,,0.00043,0.00056,0.00201,0.00426,0.00647,0.00442,0.00879,0.00840,0.01420,0.01870,0.06110,0.07450,0.13400,0.16000,0.21100,0.28600,0.30900
DR_31MAY2014,0.00043,,,,0.00043,0.00070,0.00178,0.00432,0.00507,0.00432,0.00712,0.00862,0.01310,0.01860,0.03920,0.10600,0.12600,0.17100,0.20600,0.26400,0.29000
DR_30JUN2014,0.00040,,,,0.00043,0.00069,0.00167,0.00387,0.00263,0.00623,0.00711,0.00848,0.01010,0.01730,0.03890,0.10200,0.09270,0.18600,0.16300,0.25800,0.21200
DR_31JUL2014,0.00089,,,,0.00043,0.00055,0.00180,0.00359,0.00240,0.00728,0.00786,0.00725,0.00741,0.01760,0.04020,0.10900,0.06820,0.17200,0.12600,0.27000,0.20600
DR_31AUG2014,0.00091,,,,0.00039,0.00069,0.00128,0.00351,0.00282,0.00674,0.00639,0.00684,0.00733,0.01580,0.03970,0.05710,0.07550,0.17900,0.10100,0.34000,0.15500
DR_30SEP2014,0.00089,,,,0.00038,0.00082,0.00169,0.00282,0.00380,0.00762,0.00627,0.00696,0.00455,0.01410,0.04950,0.04440,0.05570,0.15500,0.09020,0.32300,0.16900
